sensor_id,timestamp,container_id,shipment_id,route_id,product,temperature_c,humidity_percent,vibration_level,door_status,city,gps_latitude,gps_longitude,battery_percent,network_signal,outside_temperature,rainfall_mm,wind_speed
30,2026-07-16 12:30:06,C243,SH1182,R057,Mango,7.71,72,2.87,CLOSED,Delhi,22.404037,70.856461,82,Weak,38.15,17.08,7.01
31,2026-07-16 12:30:06,C041,SH8196,R044,Avocado,17.9,90,2.57,OPEN,Surat,23.725389,72.040825,88,Medium,34.19,2.4,12.39
32,2026-07-16 12:30:06,C469,SH4094,R039,Strawberry,11.64,93,1.35,OPEN,Delhi,21.429426,73.575212,85,Strong,22.7,11.99,3.02
33,2026-07-16 12:30:07,C306,SH8684,R021,Banana,10.36,84,5.96,CLOSED,Mumbai,20.856329,71.059977,77,Strong,28.3,6.44,6.04
34,2026-07-16 12:30:07,C241,SH8065,R091,Potato,12.59,78,4.35,OPEN,Mumbai,23.323201,70.350711,56,Medium,35.44,21.61,8.67
35,2026-07-16 12:30:07,C276,SH9642,R061,Tomato,17.95,85,0.51,OPEN,Jaipur,20.333247,73.403979,41,Weak,40.46,17.41,17.98
36,2026-07-16 12:30:07,C083,SH3706,R023,Potato,9.94,80,1.47,CLOSED,Pune,23.249604,70.448724,58,Strong,33.91,27.05,18.6
37,2026-07-16 12:30:07,C471,SH2468,R066,Apple,13.83,78,4.74,OPEN,Jaipur,20.523255,73.16023,82,Medium,22.8,16.03,10.12
38,2026-07-16 12:30:08,C033,SH9201,R073,Tomato,10.23,65,3.74,OPEN,Jaipur,22.020149,72.949117,78,Weak,24.82,27.79,10.52
39,2026-07-16 12:30:08,C030,SH6432,R043,Orange,14.84,60,0.44,OPEN,Mumbai,22.588266,73.383253,56,Weak,26.9,39.55,0.77
40,2026-07-16 12:30:08,C494,SH7367,R094,Banana,6.12,66,2.12,OPEN,Mumbai,22.615954,72.322327,85,Medium,28.83,39.19,8.94
41,2026-07-16 12:30:08,C358,SH3441,R090,Tomato,14.42,95,0.91,CLOSED,Ahmedabad,20.446275,72.162611,93,Medium,24.93,5.53,17.63
42,2026-07-16 12:30:08,C141,SH4233,R082,Potato,10.76,69,3.89,CLOSED,Delhi,23.974206,71.569049,92,Strong,29.46,38.59,22.58
43,2026-07-16 12:30:09,C253,SH5249,R051,Strawberry,12.59,81,2.5,OPEN,Mumbai,22.642517,71.230284,85,Strong,22.04,35.72,11.73
44,2026-07-16 12:30:09,C270,SH3627,R090,Potato,11.1,66,4.12,CLOSED,Pune,23.436772,71.020353,87,Weak,33.65,13.94,18.24
45,2026-07-16 12:30:09,C305,SH7334,R087,Onion,6.95,79,1.82,CLOSED,Jaipur,20.633355,70.879798,46,Weak,30.46,34.67,24.96
46,2026-07-16 12:30:09,C360,SH1603,R020,Strawberry,5.6,71,2.92,OPEN,Delhi,23.220047,72.647433,66,Medium,27.13,0.27,0.29
47,2026-07-16 12:30:09,C005,SH6571,R057,Mango,4.74,61,2.86,CLOSED,Mumbai,22.738748,73.810847,71,Medium,27.26,10.75,14.36
48,2026-07-16 12:30:10,C236,SH3246,R056,Orange,10.37,63,2.71,CLOSED,Surat,20.964946,71.801629,97,Weak,37.99,4.31,3.21
49,2026-07-16 12:30:10,C284,SH7461,R021,Grapes,9.21,66,1.36,OPEN,Jaipur,22.001692,72.247531,64,Medium,19.06,7.32,12.3
50,2026-07-16 12:30:10,C331,SH6125,R044,Tomato,3.12,90,0.15,OPEN,Pune,23.453247,70.01555,75,Weak,33.6,20.16,22.91
51,2026-07-16 12:30:10,C230,SH7413,R060,Grapes,16.42,87,4.9,OPEN,Pune,22.362414,72.39421,80,Medium,29.28,5.01,12.6
52,2026-07-16 12:30:11,C171,SH7756,R070,Apple,11.2,83,4.34,CLOSED,Mumbai,21.187629,71.941335,54,Strong,18.74,9.33,8.3
53,2026-07-16 12:30:11,C273,SH6276,R094,Strawberry,13.03,87,1.37,OPEN,Surat,20.290752,73.903655,72,Medium,24.78,29.74,19.7
54,2026-07-16 12:30:11,C071,SH3052,R018,Apple,10.36,70,0.13,CLOSED,Ahmedabad,21.397175,72.208253,65,Medium,21.63,12.89,21.96
55,2026-07-16 12:30:11,C230,SH2219,R038,Tomato,8.6,91,4.21,CLOSED,Surat,21.463056,73.62004,42,Strong,20.78,8.87,10.73
56,2026-07-16 12:30:11,C149,SH6287,R060,Avocado,3.73,88,0.99,CLOSED,Jaipur,21.030289,70.464239,88,Strong,32.1,39.75,17.57
57,2026-07-16 12:30:12,C468,SH6547,R095,Apple,6.04,70,5.08,CLOSED,Surat,21.263481,72.746472,66,Weak,18.87,1.32,12.34
58,2026-07-16 12:30:12,C093,SH6914,R040,Avocado,7.54,86,1.54,CLOSED,Surat,22.112057,71.863575,43,Strong,40.26,39.39,17.0
59,2026-07-16 12:30:12,C323,SH4511,R033,Mango,12.0,80,4.09,CLOSED,Delhi,21.316282,71.210772,63,Strong,35.96,35.13,22.56
60,2026-07-16 12:30:12,C200,SH1760,R017,Onion,10.4,60,2.57,CLOSED,Surat,22.002701,70.474067,100,Strong,23.07,3.54,10.73
61,2026-07-16 12:30:12,C201,SH2671,R082,Orange,6.56,86,3.86,OPEN,Delhi,22.363713,70.350972,72,Medium,30.87,11.22,3.62
62,2026-07-16 12:30:13,C066,SH7923,R086,Mango,14.42,92,1.82,OPEN,Jaipur,22.768536,70.017409,92,Medium,21.44,9.13,18.23
63,2026-07-16 12:30:13,C455,SH5783,R071,Orange,12.76,78,4.13,OPEN,Mumbai,22.058587,72.049752,58,Weak,39.34,10.76,1.43
64,2026-07-16 12:30:13,C199,SH9877,R030,Tomato,17.19,86,3.97,OPEN,Jaipur,21.718088,71.362675,40,Weak,21.55,31.26,16.82
65,2026-07-16 12:30:13,C053,SH4558,R039,Grapes,4.24,67,5.04,OPEN,Delhi,21.615019,71.354393,91,Weak,40.16,7.79,4.02
66,2026-07-16 12:30:13,C110,SH2490,R092,Mango,15.62,82,1.83,OPEN,Delhi,22.111674,73.65126,71,Strong,33.42,16.0,23.95
67,2026-07-16 12:30:14,C229,SH2253,R071,Onion,7.86,60,1.33,OPEN,Ahmedabad,21.030258,71.47945,71,Weak,18.37,14.09,2.92
68,2026-07-16 12:30:14,C108,SH2763,R094,Onion,9.61,80,3.97,OPEN,Surat,23.688095,72.013815,63,Medium,33.65,36.32,12.79
69,2026-07-16 12:30:14,C463,SH3841,R001,Banana,11.25,93,5.98,CLOSED,Ahmedabad,21.203131,73.199274,45,Strong,27.58,34.96,7.02
70,2026-07-16 12:30:14,C397,SH1625,R041,Avocado,7.63,70,5.73,OPEN,Pune,21.912577,71.830849,55,Weak,20.3,25.06,0.83
71,2026-07-16 12:30:14,C211,SH4040,R013,Orange,11.42,73,0.72,OPEN,Ahmedabad,22.288622,70.51575,79,Medium,23.24,37.73,10.17
72,2026-07-16 12:30:15,C053,SH6716,R099,Orange,6.83,79,4.22,OPEN,Surat,22.542651,72.366034,61,Strong,18.97,2.18,0.03
73,2026-07-16 12:30:15,C236,SH6617,R025,Strawberry,16.66,79,5.55,CLOSED,Delhi,21.106598,72.326137,58,Weak,18.83,32.3,22.57
74,2026-07-16 12:30:15,C338,SH7442,R029,Mango,12.01,75,5.88,CLOSED,Pune,20.756058,72.288589,71,Medium,28.21,4.85,24.73
75,2026-07-16 12:30:15,C340,SH6388,R028,Banana,3.29,87,4.49,OPEN,Mumbai,23.482672,72.155727,67,Medium,21.46,4.79,5.59
76,2026-07-16 12:30:15,C399,SH8707,R006,Orange,5.34,74,2.76,OPEN,Mumbai,22.495851,72.796368,100,Strong,41.88,22.51,22.99
77,2026-07-16 12:30:16,C288,SH9144,R041,Potato,9.63,92,3.28,OPEN,Ahmedabad,23.677475,70.291655,69,Weak,21.71,15.34,5.03
78,2026-07-16 12:30:16,C279,SH2047,R075,Onion,17.43,88,4.92,OPEN,Ahmedabad,22.725074,71.261717,51,Medium,19.78,3.19,11.61
79,2026-07-16 12:30:16,C243,SH1529,R035,Banana,13.46,68,0.26,OPEN,Delhi,21.076141,70.710277,81,Medium,18.23,26.52,21.45
80,2026-07-16 12:30:16,C154,SH8398,R068,Grapes,7.32,73,5.68,OPEN,Delhi,21.689881,73.781198,45,Weak,24.63,6.62,8.51
81,2026-07-16 12:30:16,C252,SH4130,R068,Apple,16.32,94,2.2,CLOSED,Delhi,22.847527,72.723308,73,Medium,30.5,35.09,11.98
82,2026-07-16 12:30:17,C350,SH8101,R020,Mango,13.15,94,0.9,CLOSED,Surat,23.702695,71.651569,93,Strong,27.28,29.75,24.99
83,2026-07-16 12:30:17,C005,SH4772,R015,Grapes,2.73,84,4.14,OPEN,Pune,20.821167,72.302459,73,Medium,35.29,19.64,14.85
84,2026-07-16 12:30:17,C187,SH9659,R042,Orange,14.25,83,2.75,OPEN,Ahmedabad,23.787376,73.483452,85,Weak,25.94,13.66,6.8
85,2026-07-16 12:30:17,C364,SH3138,R044,Potato,13.28,76,3.7,CLOSED,Pune,21.719323,70.455916,45,Strong,37.27,29.74,6.31
86,2026-07-16 12:30:18,C367,SH3914,R007,Mango,8.3,89,4.61,OPEN,Ahmedabad,20.271027,71.987216,88,Medium,35.36,34.99,24.59
87,2026-07-16 12:30:18,C240,SH8722,R020,Grapes,8.94,87,1.12,OPEN,Pune,21.015642,71.242711,56,Weak,35.87,2.89,22.76
88,2026-07-16 12:30:18,C173,SH1027,R042,Strawberry,8.11,86,0.18,CLOSED,Jaipur,23.654814,70.802619,67,Medium,18.96,28.57,1.09
89,2026-07-16 12:30:18,C182,SH8121,R061,Orange,2.48,63,5.93,OPEN,Mumbai,21.746191,70.400701,71,Weak,39.35,28.23,7.36
90,2026-07-16 12:30:18,C136,SH2396,R052,Potato,17.54,73,0.33,OPEN,Delhi,20.114563,72.423654,73,Medium,18.02,19.1,24.3
91,2026-07-16 12:30:19,C034,SH9403,R085,Banana,4.95,71,3.05,OPEN,Surat,20.127342,70.894342,44,Strong,22.12,5.11,9.06
92,2026-07-16 12:30:19,C078,SH4666,R097,Mango,5.46,63,5.75,CLOSED,Mumbai,21.751618,72.06549,58,Strong,23.65,29.86,22.6
93,2026-07-16 12:30:19,C320,SH6744,R023,Tomato,16.26,84,5.48,OPEN,Delhi,23.625253,70.727386,93,Medium,40.81,24.63,17.14
94,2026-07-16 12:30:19,C279,SH1660,R019,Strawberry,9.92,64,0.3,OPEN,Delhi,21.850712,70.381403,88,Medium,40.48,30.92,24.65
95,2026-07-16 12:30:19,C310,SH2784,R053,Banana,9.07,74,2.76,OPEN,Ahmedabad,23.596563,71.442745,42,Strong,26.85,33.65,19.14
96,2026-07-16 12:30:20,C434,SH1282,R043,Strawberry,17.81,66,5.4,CLOSED,Jaipur,23.507231,70.806321,57,Medium,21.75,11.74,10.8
97,2026-07-16 12:30:20,C465,SH6784,R050,Tomato,6.52,60,2.05,CLOSED,Delhi,21.749628,71.675412,41,Medium,41.2,32.85,15.98
98,2026-07-16 12:30:20,C029,SH5972,R003,Orange,15.41,92,5.2,CLOSED,Ahmedabad,22.836835,73.283509,69,Strong,30.06,1.97,15.17
99,2026-07-16 12:30:20,C242,SH7633,R040,Strawberry,7.63,75,2.89,CLOSED,Mumbai,21.685449,72.149589,64,Strong,34.23,38.53,10.11
100,2026-07-16 12:30:20,C457,SH2968,R031,Strawberry,7.32,75,1.15,CLOSED,Surat,20.26175,72.625208,79,Medium,41.02,18.76,10.2
101,2026-07-16 12:30:21,C438,SH9568,R074,Orange,2.06,72,5.6,OPEN,Mumbai,21.588361,73.020029,73,Strong,21.67,10.93,11.03
102,2026-07-16 12:30:21,C370,SH9267,R062,Grapes,10.09,75,3.22,CLOSED,Surat,21.116187,71.841213,85,Weak,20.09,35.77,2.62
103,2026-07-16 12:30:21,C032,SH3228,R035,Strawberry,2.09,93,3.15,OPEN,Pune,22.383901,71.251059,72,Weak,39.23,7.99,22.06
104,2026-07-16 12:30:21,C127,SH6496,R067,Avocado,13.43,66,4.82,CLOSED,Surat,23.83554,73.553433,91,Strong,29.67,37.22,2.62
105,2026-07-16 12:30:21,C343,SH4930,R093,Onion,6.13,93,1.05,CLOSED,Ahmedabad,21.168727,73.738896,58,Strong,27.49,12.94,5.28
106,2026-07-16 12:30:22,C365,SH7183,R086,Grapes,15.15,74,0.01,OPEN,Jaipur,22.131506,71.272532,63,Medium,30.31,20.32,0.94
107,2026-07-16 12:30:22,C487,SH6635,R033,Tomato,12.36,69,2.22,CLOSED,Ahmedabad,23.570422,72.470008,88,Weak,41.75,23.81,15.23
108,2026-07-16 12:30:22,C378,SH2609,R005,Onion,14.12,79,3.7,OPEN,Ahmedabad,22.195089,71.650997,86,Medium,27.71,5.88,12.19
109,2026-07-16 12:30:22,C304,SH6679,R095,Avocado,9.86,67,3.01,CLOSED,Ahmedabad,23.466751,70.583281,63,Medium,30.71,33.17,23.83
110,2026-07-16 12:30:22,C059,SH6653,R005,Potato,5.84,94,0.53,CLOSED,Ahmedabad,23.074742,72.017623,73,Strong,24.23,24.06,24.03
111,2026-07-16 12:30:23,C340,SH6944,R003,Orange,13.43,88,2.81,OPEN,Mumbai,23.576384,70.244221,55,Strong,28.16,9.97,17.23
112,2026-07-16 12:30:23,C084,SH2161,R049,Potato,16.63,71,5.67,OPEN,Delhi,22.087378,70.666241,87,Weak,20.56,32.22,13.68
113,2026-07-16 12:30:23,C489,SH5455,R094,Onion,3.61,87,2.0,CLOSED,Delhi,22.581364,71.287772,44,Medium,37.07,24.54,21.66
114,2026-07-16 12:30:23,C101,SH2460,R080,Potato,15.87,93,3.84,CLOSED,Delhi,23.329656,73.391148,41,Strong,33.74,32.41,7.6
115,2026-07-16 12:30:23,C143,SH4871,R008,Apple,5.58,79,2.32,CLOSED,Pune,22.447698,71.64512,90,Strong,39.99,5.92,18.16
116,2026-07-16 12:30:24,C180,SH4753,R017,Grapes,6.17,70,5.61,CLOSED,Surat,20.03844,71.802613,64,Strong,37.81,39.88,19.4
117,2026-07-16 12:30:24,C082,SH4563,R040,Apple,15.15,64,0.44,OPEN,Mumbai,21.430891,70.289857,96,Weak,35.19,38.49,22.89
118,2026-07-16 12:30:24,C313,SH8634,R047,Grapes,14.88,79,0.66,OPEN,Mumbai,20.282392,70.113244,69,Medium,39.04,16.94,9.72
119,2026-07-16 12:30:24,C146,SH5524,R084,Banana,4.23,81,4.75,OPEN,Surat,23.501257,71.725169,47,Weak,18.98,14.24,24.2
120,2026-07-16 12:30:25,C150,SH7199,R095,Grapes,3.16,60,3.9,CLOSED,Mumbai,22.282043,70.458242,52,Weak,33.41,22.43,6.95
121,2026-07-16 12:30:25,C239,SH2122,R025,Tomato,5.58,90,0.1,OPEN,Mumbai,22.694534,73.967494,85,Medium,34.77,5.69,6.57
122,2026-07-16 12:30:25,C090,SH1677,R015,Orange,15.7,80,0.56,OPEN,Delhi,21.442831,70.790838,62,Strong,37.52,32.58,7.52
123,2026-07-16 12:30:25,C133,SH1654,R049,Tomato,8.71,61,4.72,OPEN,Pune,21.684933,73.263269,93,Medium,23.95,16.65,10.99
124,2026-07-16 12:30:25,C306,SH7031,R010,Tomato,14.41,66,1.07,OPEN,Jaipur,23.53229,70.668117,81,Strong,18.43,11.19,1.12
125,2026-07-16 12:30:26,C444,SH9187,R051,Apple,4.59,87,2.21,CLOSED,Jaipur,20.188436,70.779837,41,Medium,35.32,18.67,8.92
126,2026-07-16 12:30:26,C249,SH5064,R079,Banana,12.57,81,3.48,OPEN,Jaipur,21.501332,71.228838,51,Medium,19.06,29.64,9.94
127,2026-07-16 12:30:26,C049,SH8528,R070,Banana,9.94,79,4.78,OPEN,Jaipur,23.678385,70.499824,86,Medium,33.04,13.75,16.28
128,2026-07-16 12:30:26,C324,SH4425,R007,Orange,3.19,77,2.64,CLOSED,Pune,20.182687,72.457998,59,Strong,18.98,5.37,7.09
129,2026-07-16 12:30:26,C279,SH9503,R090,Tomato,8.01,60,3.65,CLOSED,Mumbai,23.518923,73.881818,98,Strong,19.57,6.79,11.51
130,2026-07-16 12:30:27,C165,SH6771,R029,Strawberry,10.92,60,3.0,OPEN,Jaipur,22.204107,71.00562,63,Strong,35.9,36.54,7.31
131,2026-07-16 12:30:27,C074,SH1942,R035,Banana,16.21,77,1.11,OPEN,Mumbai,20.133451,73.509992,93,Weak,25.43,11.43,0.47
132,2026-07-16 12:30:27,C129,SH6162,R034,Strawberry,14.3,90,3.85,OPEN,Jaipur,20.772817,72.589018,50,Strong,37.32,27.09,17.18
133,2026-07-16 12:30:27,C210,SH2149,R034,Apple,10.76,87,3.4,OPEN,Pune,22.914315,72.151623,40,Strong,28.3,35.04,18.26
134,2026-07-16 12:30:27,C056,SH9068,R063,Banana,8.86,83,3.33,CLOSED,Mumbai,21.227674,71.794805,61,Weak,27.29,20.16,23.19
135,2026-07-16 12:30:28,C388,SH1346,R094,Orange,2.83,74,5.44,OPEN,Pune,23.143282,70.231325,99,Weak,32.35,11.88,16.52
136,2026-07-16 12:30:28,C220,SH1278,R084,Potato,17.89,87,4.32,CLOSED,Surat,22.716976,70.592114,73,Medium,30.2,31.97,23.14
137,2026-07-16 12:30:28,C162,SH3392,R064,Apple,14.77,89,2.84,CLOSED,Jaipur,22.511523,71.704556,74,Weak,23.81,13.12,20.5
138,2026-07-16 12:30:28,C018,SH4911,R010,Orange,2.73,82,2.11,OPEN,Delhi,20.928428,73.261559,54,Strong,37.19,31.98,11.7
139,2026-07-16 12:30:28,C401,SH9423,R046,Avocado,11.88,90,2.88,CLOSED,Delhi,23.076242,71.956947,71,Weak,28.59,30.54,18.21
140,2026-07-16 12:30:29,C452,SH2823,R080,Tomato,8.05,85,2.25,CLOSED,Pune,22.105633,70.419369,78,Strong,18.94,39.96,11.72
141,2026-07-16 12:30:29,C251,SH1437,R092,Tomato,4.51,90,3.06,OPEN,Jaipur,22.300457,71.484625,58,Weak,21.07,25.64,18.81
142,2026-07-16 12:30:29,C450,SH6597,R064,Apple,3.21,94,3.86,CLOSED,Mumbai,20.69759,71.591437,47,Strong,32.58,1.52,11.47
143,2026-07-16 12:30:29,C085,SH9012,R027,Potato,6.25,91,4.59,OPEN,Delhi,20.317896,72.522038,70,Medium,28.87,19.31,15.26
144,2026-07-16 12:30:29,C328,SH7069,R025,Banana,10.5,91,5.72,CLOSED,Jaipur,21.531103,73.967258,89,Medium,34.66,25.96,7.54
145,2026-07-16 12:30:30,C460,SH1839,R070,Strawberry,9.6,78,5.93,OPEN,Delhi,22.901674,72.294403,92,Medium,28.83,18.98,6.8
146,2026-07-16 12:30:30,C355,SH2063,R076,Apple,15.01,64,2.2,CLOSED,Mumbai,22.031352,70.449153,79,Weak,24.87,7.86,22.65
147,2026-07-16 12:30:30,C207,SH5369,R076,Mango,4.93,65,2.64,CLOSED,Jaipur,20.123213,73.222678,62,Strong,29.05,8.27,13.66
148,2026-07-16 12:30:30,C098,SH4027,R087,Strawberry,3.62,75,4.79,CLOSED,Delhi,23.546685,71.531014,96,Strong,23.18,21.93,24.92
149,2026-07-16 12:30:30,C171,SH2056,R055,Apple,16.5,76,1.88,OPEN,Ahmedabad,22.669052,70.703748,79,Weak,39.31,4.52,1.89
150,2026-07-16 12:30:31,C174,SH4911,R053,Onion,5.37,88,1.44,OPEN,Jaipur,21.196347,73.558103,53,Weak,31.56,7.6,7.09
151,2026-07-16 12:30:31,C495,SH4713,R007,Mango,9.11,62,0.32,CLOSED,Pune,22.314019,72.098682,47,Weak,20.74,37.25,9.3
152,2026-07-16 12:30:31,C006,SH1870,R055,Avocado,6.99,89,4.09,CLOSED,Ahmedabad,21.089434,70.386505,52,Medium,29.75,10.18,17.12
153,2026-07-16 12:30:31,C067,SH1742,R015,Apple,6.08,61,2.87,OPEN,Ahmedabad,21.944995,72.267681,98,Weak,23.68,34.24,11.09
154,2026-07-16 12:30:31,C170,SH1716,R014,Tomato,17.19,75,0.83,CLOSED,Ahmedabad,23.150606,70.154444,59,Strong,29.41,14.75,6.13
155,2026-07-16 12:30:32,C073,SH3432,R057,Apple,12.34,67,4.37,OPEN,Delhi,20.429929,70.854458,40,Strong,39.62,5.89,17.0
156,2026-07-16 12:30:32,C318,SH9845,R065,Tomato,16.6,95,1.26,OPEN,Pune,22.689965,73.494283,70,Medium,37.16,33.9,22.36
157,2026-07-16 12:30:32,C374,SH2242,R037,Strawberry,5.18,72,2.5,OPEN,Pune,23.297611,72.678158,43,Medium,25.31,11.85,7.68
158,2026-07-16 12:30:32,C007,SH3950,R069,Tomato,10.19,81,3.55,OPEN,Ahmedabad,20.828842,72.694817,57,Strong,33.76,26.94,5.65
159,2026-07-16 12:30:32,C405,SH1040,R092,Orange,15.66,68,4.24,OPEN,Delhi,23.003093,72.728447,49,Strong,37.21,19.95,21.97
160,2026-07-16 12:30:33,C438,SH2562,R057,Onion,12.78,87,0.8,OPEN,Jaipur,21.592967,72.79043,76,Medium,34.17,7.72,16.3
161,2026-07-16 12:30:33,C152,SH8243,R015,Orange,9.59,86,2.93,CLOSED,Mumbai,20.675256,73.51754,41,Strong,31.87,2.7,18.58
162,2026-07-16 12:30:33,C220,SH1550,R007,Grapes,12.45,73,1.01,OPEN,Mumbai,22.635334,71.899201,71,Medium,39.99,5.86,21.1
163,2026-07-16 12:30:33,C151,SH5760,R028,Strawberry,8.38,82,2.61,CLOSED,Mumbai,21.003791,72.288989,54,Strong,32.45,12.41,16.84
164,2026-07-16 12:30:34,C351,SH5600,R061,Strawberry,13.38,90,3.17,OPEN,Mumbai,23.517967,72.178106,53,Strong,25.11,21.22,24.89
165,2026-07-16 12:30:34,C352,SH6591,R076,Onion,6.79,63,0.1,OPEN,Mumbai,23.280788,71.654278,41,Medium,33.6,20.15,15.45
166,2026-07-16 12:30:34,C311,SH5053,R077,Grapes,6.45,79,5.86,CLOSED,Pune,20.96745,71.957686,93,Strong,23.08,21.96,18.83
167,2026-07-16 12:30:34,C097,SH1730,R041,Orange,9.98,65,3.5,CLOSED,Pune,20.263339,73.489088,78,Medium,34.5,27.73,20.63
168,2026-07-16 12:30:34,C132,SH2526,R079,Onion,6.21,70,3.93,CLOSED,Pune,20.401597,72.093371,61,Strong,34.98,15.38,10.54
169,2026-07-16 12:30:35,C106,SH8873,R098,Strawberry,3.99,79,3.48,OPEN,Mumbai,22.287555,72.838169,71,Weak,41.97,31.28,21.73
170,2026-07-16 12:30:35,C249,SH9682,R002,Tomato,13.92,88,1.1,CLOSED,Pune,20.061118,73.591051,74,Medium,41.6,12.48,13.7
171,2026-07-16 12:30:35,C122,SH5847,R048,Grapes,9.38,79,1.79,CLOSED,Pune,20.656754,71.973219,70,Strong,37.96,8.75,15.46
172,2026-07-16 12:30:35,C012,SH1931,R082,Banana,11.95,92,0.97,OPEN,Pune,23.09745,71.74629,97,Strong,38.16,34.33,24.52
173,2026-07-16 12:30:35,C081,SH4897,R002,Apple,4.27,82,1.57,OPEN,Ahmedabad,23.708385,71.415586,55,Strong,27.13,33.25,12.79
