sensor_id,timestamp,container_id,shipment_id,route_id,temperature_c,humidity_percent,vibration_level,door_status,gps_latitude,gps_longitude,battery_percent,network_signal
22,2026-01-01 00:22:00,C471,SH01618,R050,3.9,65,3.1,OPEN,21.449679,72.295529,75,Weak
23,2026-01-01 00:23:00,C344,SH02876,R086,9.3,88,7.8,CLOSED,20.065551,71.619878,65,Medium
24,2026-01-01 00:24:00,C138,SH04388,R029,5.5,69,5.6,OPEN,23.251334,72.4664,51,Strong
25,2026-01-01 00:25:00,C014,SH00006,R099,14.7,79,2.3,OPEN,20.119952,73.562317,86,Medium
26,2026-01-01 00:26:00,C060,SH03048,R047,4.2,87,4.7,OPEN,22.876226,70.573158,40,Weak
27,2026-01-01 00:27:00,C320,SH04627,R033,14.7,86,3.1,OPEN,21.289004,72.712578,82,Strong
28,2026-01-01 00:28:00,C448,SH03553,R040,9.8,74,3.4,OPEN,21.46545,71.070518,25,Strong
29,2026-01-01 00:29:00,C126,SH00206,R031,7.4,60,1.7,CLOSED,20.424805,70.983262,89,Strong
30,2026-01-01 00:30:00,C403,SH01780,R060,5.2,69,3.0,CLOSED,23.144757,73.629619,89,Weak
31,2026-01-01 00:31:00,C134,SH03615,R087,10.4,78,5.1,OPEN,21.708611,72.773951,54,Weak
32,2026-01-01 00:32:00,C391,SH01548,R040,6.4,82,2.7,CLOSED,20.539068,73.433969,36,Strong
33,2026-01-01 00:33:00,C426,SH00329,R067,2.9,64,5.4,CLOSED,20.405997,70.979409,39,Weak
34,2026-01-01 00:34:00,C302,SH01094,R025,3.1,76,5.3,CLOSED,21.650747,72.841827,89,Medium
35,2026-01-01 00:35:00,C171,SH01608,R079,2.8,61,4.2,OPEN,21.402283,70.187316,80,Weak
36,2026-01-01 00:36:00,C084,SH02748,R049,11.0,74,4.8,OPEN,22.24596,71.556987,56,Weak
37,2026-01-01 00:37:00,C218,SH04930,R007,3.4,77,1.8,CLOSED,20.208978,71.219189,86,Strong
38,2026-01-01 00:38:00,C113,SH04500,R053,10.7,66,5.9,CLOSED,23.849092,70.172135,34,Medium
39,2026-01-01 00:39:00,C323,SH01262,R002,6.9,86,5.1,OPEN,20.345411,70.222759,21,Medium
40,2026-01-01 00:40:00,C054,SH03036,R027,6.4,70,1.5,CLOSED,20.189571,73.859247,72,Strong
41,2026-01-01 00:41:00,C455,SH02190,R053,2.2,75,6.3,CLOSED,20.6162,71.704409,82,Strong
42,2026-01-01 00:42:00,C235,SH04396,R071,4.2,76,6.5,CLOSED,20.990076,72.00415,58,Strong
43,2026-01-01 00:43:00,C436,SH02113,R080,12.4,93,4.1,OPEN,22.578149,73.545332,25,Medium
44,2026-01-01 00:44:00,C214,SH00666,R083,7.0,62,3.3,CLOSED,23.549694,73.814216,30,Strong
45,2026-01-01 00:45:00,C280,SH01676,R053,9.2,75,6.1,CLOSED,22.475098,73.562752,40,Medium
46,2026-01-01 00:46:00,C042,SH02547,R028,10.5,93,1.6,CLOSED,22.158242,71.889699,73,Strong
47,2026-01-01 00:47:00,C165,SH01133,R099,2.0,89,3.0,CLOSED,21.472417,72.574278,91,Strong
48,2026-01-01 00:48:00,C488,SH00123,R085,10.6,83,7.8,CLOSED,22.713383,72.884848,41,Medium
49,2026-01-01 00:49:00,C330,SH00934,R017,6.2,68,5.5,OPEN,20.021742,72.230581,27,Medium
50,2026-01-01 00:50:00,C013,SH03033,R015,13.9,88,5.7,OPEN,21.874286,71.206255,74,Strong
51,2026-01-01 00:51:00,C063,SH01180,R042,8.3,78,7.6,CLOSED,23.388622,72.444638,80,Strong
52,2026-01-01 00:52:00,C306,SH01848,R026,4.0,89,6.7,OPEN,23.353734,71.225791,48,Medium
53,2026-01-01 00:53:00,C238,SH03542,R034,5.2,74,6.5,CLOSED,23.415451,71.018183,69,Strong
54,2026-01-01 00:54:00,C010,SH02315,R011,6.3,73,1.5,OPEN,23.585439,70.687505,72,Weak
55,2026-01-01 00:55:00,C444,SH04775,R064,11.8,82,3.4,CLOSED,23.273015,71.558315,43,Weak
56,2026-01-01 00:56:00,C375,SH02831,R024,10.0,71,1.4,OPEN,22.839626,72.663273,89,Strong
57,2026-01-01 00:57:00,C174,SH01984,R075,5.3,87,3.5,CLOSED,22.8418,71.869634,92,Strong
58,2026-01-01 00:58:00,C073,SH01899,R040,10.5,94,1.3,OPEN,23.780113,72.716917,42,Medium
59,2026-01-01 00:59:00,C120,SH04974,R071,4.5,67,5.7,CLOSED,22.242994,72.9984,94,Medium
60,2026-01-01 01:00:00,C339,SH04319,R073,5.5,89,1.9,CLOSED,22.130009,71.36748,93,Strong
61,2026-01-01 01:01:00,C282,SH02921,R100,14.9,62,4.5,CLOSED,23.286898,72.4641,60,Weak
62,2026-01-01 01:02:00,C441,SH03194,R080,6.6,72,3.8,OPEN,22.08894,71.197732,62,Medium
63,2026-01-01 01:03:00,C026,SH02535,R098,10.6,80,2.9,OPEN,22.625421,71.482953,32,Medium
64,2026-01-01 01:04:00,C253,SH01597,R081,3.2,78,5.2,CLOSED,21.781889,71.448482,42,Strong
65,2026-01-01 01:05:00,C488,SH03044,R019,2.7,64,7.9,CLOSED,21.100676,71.898736,88,Medium
66,2026-01-01 01:06:00,C155,SH03586,R056,3.0,90,4.9,CLOSED,21.051756,72.146381,55,Weak
67,2026-01-01 01:07:00,C037,SH02633,R058,6.4,75,4.1,CLOSED,20.359713,71.797624,82,Weak
68,2026-01-01 01:08:00,C304,SH04721,R004,3.1,84,7.0,CLOSED,22.46613,71.613798,70,Medium
69,2026-01-01 01:09:00,C380,SH00146,R022,7.8,82,2.0,OPEN,20.118244,73.415175,68,Weak
70,2026-01-01 01:10:00,C101,SH03750,R055,7.0,63,2.3,CLOSED,21.080581,70.850952,20,Medium
71,2026-01-01 01:11:00,C263,SH00379,R020,9.2,82,7.0,OPEN,22.998746,70.774811,58,Strong
72,2026-01-01 01:12:00,C442,SH04462,R023,11.0,60,5.7,OPEN,22.048923,73.892846,96,Weak
73,2026-01-01 01:13:00,C009,SH01582,R045,5.7,78,3.8,OPEN,23.60322,72.99904,93,Weak
74,2026-01-01 01:14:00,C019,SH04413,R072,12.4,75,7.2,OPEN,23.518703,72.135588,34,Weak
75,2026-01-01 01:15:00,C174,SH02266,R065,10.2,80,1.3,OPEN,20.964396,70.117234,80,Strong
76,2026-01-01 01:16:00,C164,SH01654,R088,13.6,63,6.8,OPEN,22.247753,71.636453,91,Weak
77,2026-01-01 01:17:00,C186,SH01091,R020,14.8,90,1.5,CLOSED,22.222524,70.016838,58,Medium
78,2026-01-01 01:18:00,C457,SH00948,R015,5.9,95,2.3,OPEN,22.159047,71.130034,95,Strong
79,2026-01-01 01:19:00,C395,SH01694,R057,8.8,73,7.9,CLOSED,21.572369,73.233036,23,Medium
80,2026-01-01 01:20:00,C200,SH04365,R043,5.7,83,1.7,CLOSED,22.017641,71.443537,100,Strong
81,2026-01-01 01:21:00,C428,SH01239,R051,13.5,80,2.6,OPEN,22.510138,72.438672,20,Strong
82,2026-01-01 01:22:00,C307,SH00068,R044,2.1,73,7.8,OPEN,20.146911,73.523152,59,Medium
83,2026-01-01 01:23:00,C081,SH04675,R059,6.8,71,4.0,CLOSED,22.860919,71.672606,29,Weak
84,2026-01-01 01:24:00,C497,SH00590,R080,4.1,84,3.8,OPEN,20.908048,73.540724,38,Weak
85,2026-01-01 01:25:00,C014,SH00716,R073,9.2,94,4.4,CLOSED,23.164452,70.243788,29,Strong
86,2026-01-01 01:26:00,C107,SH01697,R023,10.9,90,5.6,CLOSED,20.088028,72.139354,43,Strong
87,2026-01-01 01:27:00,C384,SH02120,R008,3.6,62,6.2,OPEN,22.182718,72.159593,90,Medium
88,2026-01-01 01:28:00,C370,SH01959,R074,12.3,69,4.9,OPEN,23.765784,71.953013,63,Medium
89,2026-01-01 01:29:00,C471,SH04839,R009,4.2,61,4.9,CLOSED,23.564567,71.722205,34,Strong
90,2026-01-01 01:30:00,C098,SH02222,R003,7.6,71,7.5,OPEN,20.160247,73.543756,76,Weak
91,2026-01-01 01:31:00,C141,SH03104,R024,14.6,64,3.5,CLOSED,21.443361,73.489893,28,Weak
92,2026-01-01 01:32:00,C260,SH03648,R019,13.7,82,1.6,OPEN,23.818845,70.148984,32,Medium
93,2026-01-01 01:33:00,C128,SH03766,R093,3.3,62,7.5,OPEN,20.139944,73.147659,34,Weak
94,2026-01-01 01:34:00,C176,SH02269,R080,9.4,69,2.7,CLOSED,21.194716,72.448256,61,Strong
95,2026-01-01 01:35:00,C170,SH03957,R087,10.6,64,4.0,CLOSED,22.251666,70.042252,95,Medium
96,2026-01-01 01:36:00,C380,SH00302,R086,3.1,74,7.7,CLOSED,20.875457,71.791112,78,Strong
97,2026-01-01 01:37:00,C162,SH01010,R030,11.7,65,5.9,OPEN,20.200649,72.598399,87,Strong
98,2026-01-01 01:38:00,C257,SH03746,R029,14.0,80,5.3,CLOSED,23.653145,72.479342,70,Medium
99,2026-01-01 01:39:00,C319,SH02753,R096,5.2,77,4.3,CLOSED,20.666915,70.259877,93,Strong
100,2026-01-01 01:40:00,C428,SH04618,R002,6.7,82,4.7,OPEN,22.463169,71.2727,89,Strong
101,2026-01-01 01:41:00,C443,SH01077,R062,11.1,80,4.8,CLOSED,20.355118,72.075308,55,Weak
102,2026-01-01 01:42:00,C118,SH03665,R069,11.3,62,4.7,CLOSED,22.518345,71.175849,60,Medium
103,2026-01-01 01:43:00,C269,SH02042,R029,9.7,82,1.9,CLOSED,23.580553,72.977053,40,Strong
104,2026-01-01 01:44:00,C272,SH02472,R013,11.5,61,7.9,CLOSED,23.422487,73.762768,52,Strong
105,2026-01-01 01:45:00,C243,SH03424,R038,8.1,67,5.6,CLOSED,21.42271,72.0269,55,Strong
106,2026-01-01 01:46:00,C184,SH01300,R010,3.1,69,2.8,OPEN,23.450886,70.276185,42,Strong
107,2026-01-01 01:47:00,C130,SH04455,R076,9.5,83,6.1,OPEN,23.700813,71.768984,36,Weak
108,2026-01-01 01:48:00,C197,SH00956,R009,10.3,92,2.7,CLOSED,21.258695,70.221874,28,Medium
109,2026-01-01 01:49:00,C204,SH01494,R096,6.1,63,5.2,OPEN,22.806008,72.371768,58,Medium
110,2026-01-01 01:50:00,C023,SH01078,R036,8.5,63,7.1,OPEN,20.475069,73.185217,87,Strong
111,2026-01-01 01:51:00,C100,SH02594,R089,3.1,86,5.2,CLOSED,20.055065,70.507604,48,Weak
112,2026-01-01 01:52:00,C033,SH02994,R091,9.0,75,5.6,OPEN,20.962306,72.014979,38,Strong
113,2026-01-01 01:53:00,C142,SH02563,R028,5.5,80,3.8,OPEN,23.896697,73.072047,36,Strong
114,2026-01-01 01:54:00,C084,SH04141,R063,13.4,87,6.7,CLOSED,22.648223,70.669288,91,Medium
115,2026-01-01 01:55:00,C350,SH04698,R085,14.6,69,4.2,CLOSED,22.792353,70.122295,58,Medium
116,2026-01-01 01:56:00,C347,SH02080,R022,6.9,91,8.0,OPEN,20.411088,70.883215,83,Medium
117,2026-01-01 01:57:00,C120,SH02595,R056,10.1,66,5.9,CLOSED,22.173689,73.613004,41,Strong
118,2026-01-01 01:58:00,C121,SH04592,R006,2.6,77,4.2,OPEN,21.204868,73.042682,61,Medium
119,2026-01-01 01:59:00,C041,SH00900,R067,15.0,91,7.0,CLOSED,21.851434,70.735737,93,Strong
120,2026-01-01 02:00:00,C142,SH04086,R054,13.6,72,4.0,CLOSED,20.992413,72.812937,68,Weak
121,2026-01-01 02:01:00,C292,SH02748,R077,8.6,79,2.6,OPEN,23.437823,70.216452,56,Strong
122,2026-01-01 02:02:00,C447,SH01430,R080,3.0,81,3.3,OPEN,23.371059,73.216716,65,Strong
123,2026-01-01 02:03:00,C137,SH02646,R034,11.6,94,7.7,OPEN,20.134692,72.519618,94,Strong
124,2026-01-01 02:04:00,C080,SH02187,R036,13.0,65,5.7,CLOSED,20.599319,73.545122,65,Weak
125,2026-01-01 02:05:00,C178,SH03309,R080,5.3,76,6.9,OPEN,23.809713,70.309726,99,Medium
126,2026-01-01 02:06:00,C172,SH02710,R047,8.0,78,1.3,OPEN,20.739989,72.501957,30,Strong
127,2026-01-01 02:07:00,C228,SH01006,R076,10.7,80,7.0,OPEN,23.939755,72.410406,93,Medium
128,2026-01-01 02:08:00,C122,SH03345,R049,6.6,91,6.6,CLOSED,20.608512,72.575106,73,Strong
129,2026-01-01 02:09:00,C321,SH04068,R095,10.1,65,4.3,OPEN,20.5073,72.425441,36,Strong
130,2026-01-01 02:10:00,C312,SH02331,R007,6.6,62,2.4,OPEN,20.209365,70.069453,21,Strong
131,2026-01-01 02:11:00,C261,SH01579,R008,6.9,71,5.8,OPEN,20.548476,72.48305,30,Strong
132,2026-01-01 02:12:00,C131,SH01859,R040,2.3,89,6.7,OPEN,22.576547,72.965651,82,Strong
133,2026-01-01 02:13:00,C461,SH00932,R077,13.5,90,7.8,CLOSED,22.85456,72.987316,75,Medium
134,2026-01-01 02:14:00,C379,SH02777,R013,9.6,68,7.8,CLOSED,21.73323,72.166682,86,Strong
135,2026-01-01 02:15:00,C023,SH03999,R074,5.7,67,2.1,CLOSED,22.487226,73.690603,77,Weak
136,2026-01-01 02:16:00,C322,SH00429,R015,6.5,63,2.2,CLOSED,21.877113,70.703421,91,Medium
137,2026-01-01 02:17:00,C045,SH03357,R031,11.8,69,2.2,CLOSED,20.465836,73.126136,45,Weak
138,2026-01-01 02:18:00,C215,SH00498,R085,14.0,66,4.4,CLOSED,22.943766,71.83845,69,Medium
139,2026-01-01 02:19:00,C022,SH01127,R067,11.8,85,6.2,CLOSED,22.745794,71.228809,44,Medium
140,2026-01-01 02:20:00,C460,SH03243,R056,2.8,83,2.4,OPEN,20.205582,70.991937,34,Weak
141,2026-01-01 02:21:00,C144,SH01616,R041,13.2,90,1.2,CLOSED,23.799327,73.911354,57,Weak
142,2026-01-01 02:22:00,C286,SH04208,R080,4.6,66,6.1,CLOSED,21.647734,72.186356,87,Weak
143,2026-01-01 02:23:00,C413,SH03503,R012,8.6,69,4.8,OPEN,20.211246,71.085327,70,Medium
144,2026-01-01 02:24:00,C210,SH03532,R099,4.2,93,2.9,OPEN,20.503938,70.926634,54,Weak
145,2026-01-01 02:25:00,C093,SH00564,R035,10.9,60,6.4,CLOSED,21.083516,71.728885,22,Medium
146,2026-01-01 02:26:00,C114,SH02673,R061,10.3,86,2.9,CLOSED,20.345615,72.820162,79,Weak
147,2026-01-01 02:27:00,C483,SH04201,R073,6.9,60,6.2,OPEN,22.776821,71.802593,94,Strong
148,2026-01-01 02:28:00,C467,SH04185,R067,5.3,69,1.1,CLOSED,22.549876,70.132463,31,Weak
149,2026-01-01 02:29:00,C372,SH01276,R062,2.2,74,3.4,OPEN,22.546204,73.632852,23,Medium
150,2026-01-01 02:30:00,C490,SH01376,R068,12.8,92,4.6,CLOSED,23.708511,70.081011,86,Medium
151,2026-01-01 02:31:00,C258,SH01790,R046,9.6,64,5.5,CLOSED,23.667336,72.421439,68,Weak
152,2026-01-01 02:32:00,C003,SH02210,R076,3.2,61,3.7,OPEN,22.013928,72.678044,30,Strong
153,2026-01-01 02:33:00,C298,SH01308,R093,5.1,82,7.3,OPEN,23.75959,73.298604,81,Weak
154,2026-01-01 02:34:00,C273,SH03866,R090,6.3,61,3.2,OPEN,23.927183,70.252442,97,Strong
155,2026-01-01 02:35:00,C274,SH04713,R075,3.4,78,3.9,CLOSED,23.680579,70.617821,58,Strong
156,2026-01-01 02:36:00,C044,SH03239,R076,13.9,79,7.0,CLOSED,21.749876,72.537654,23,Strong
157,2026-01-01 02:37:00,C016,SH04787,R037,7.7,88,7.5,CLOSED,23.585523,70.980558,56,Weak
158,2026-01-01 02:38:00,C070,SH01936,R093,5.3,64,5.0,OPEN,20.416393,70.056521,63,Strong
159,2026-01-01 02:39:00,C392,SH00703,R005,6.8,69,5.6,OPEN,21.49805,72.846243,32,Medium
160,2026-01-01 02:40:00,C251,SH02074,R099,14.3,74,7.7,CLOSED,22.537839,70.247013,77,Weak
161,2026-01-01 02:41:00,C352,SH01695,R087,9.7,85,4.2,CLOSED,22.028119,71.276727,40,Strong
162,2026-01-01 02:42:00,C074,SH03224,R063,2.3,92,5.8,CLOSED,22.726601,73.199372,97,Medium
163,2026-01-01 02:43:00,C371,SH04749,R033,7.9,61,3.9,OPEN,22.912819,71.311264,80,Weak
164,2026-01-01 02:44:00,C459,SH02959,R097,11.2,64,7.5,OPEN,22.773132,73.663036,55,Weak
165,2026-01-01 02:45:00,C486,SH03417,R099,4.7,80,5.3,CLOSED,23.196683,70.773702,91,Medium
166,2026-01-01 02:46:00,C132,SH03638,R002,8.6,64,6.3,CLOSED,22.667954,72.858908,32,Strong
167,2026-01-01 02:47:00,C078,SH01005,R042,12.0,81,4.7,CLOSED,21.833371,73.78721,62,Strong
168,2026-01-01 02:48:00,C328,SH03057,R088,2.5,82,8.0,CLOSED,22.841882,72.030843,38,Medium
169,2026-01-01 02:49:00,C140,SH03114,R096,14.2,79,3.6,CLOSED,22.902888,70.649235,71,Weak
170,2026-01-01 02:50:00,C371,SH01665,R064,13.9,91,2.2,CLOSED,23.300907,72.924462,63,Strong
171,2026-01-01 02:51:00,C387,SH01490,R034,2.3,63,6.1,OPEN,23.570458,73.820178,37,Weak
172,2026-01-01 02:52:00,C371,SH03075,R016,10.2,69,4.8,CLOSED,20.608925,71.384422,79,Weak
173,2026-01-01 02:53:00,C472,SH00491,R072,8.5,77,4.8,CLOSED,20.131432,70.463104,33,Strong
174,2026-01-01 02:54:00,C077,SH04211,R049,10.7,79,2.4,OPEN,22.18492,70.528661,84,Strong
175,2026-01-01 02:55:00,C320,SH01789,R032,7.3,72,6.6,OPEN,22.720718,71.368124,70,Weak
176,2026-01-01 02:56:00,C298,SH02307,R053,11.7,74,3.0,OPEN,20.361094,71.977758,59,Strong
177,2026-01-01 02:57:00,C455,SH03677,R075,2.4,85,4.4,OPEN,21.186616,72.903377,44,Weak
178,2026-01-01 02:58:00,C461,SH03613,R006,10.6,78,5.6,OPEN,22.647474,70.068153,76,Strong
179,2026-01-01 02:59:00,C455,SH01485,R018,8.6,95,6.7,OPEN,23.690813,71.773844,43,Weak
180,2026-01-01 03:00:00,C245,SH04720,R053,10.4,67,5.0,OPEN,21.332192,70.109041,32,Strong
181,2026-01-01 03:01:00,C494,SH03895,R091,8.7,78,2.7,CLOSED,20.357466,70.891287,77,Strong
182,2026-01-01 03:02:00,C135,SH02218,R049,14.8,76,5.5,OPEN,22.856311,70.909434,26,Strong
183,2026-01-01 03:03:00,C123,SH02196,R015,12.0,91,2.4,CLOSED,23.986635,72.099899,63,Medium
184,2026-01-01 03:04:00,C012,SH03242,R088,13.2,63,1.4,OPEN,22.336646,72.174299,91,Weak
185,2026-01-01 03:05:00,C071,SH02756,R058,3.1,90,1.8,CLOSED,21.710567,73.174039,35,Weak
186,2026-01-01 03:06:00,C263,SH03268,R041,8.7,92,1.9,CLOSED,21.078442,72.609553,34,Strong
187,2026-01-01 03:07:00,C358,SH01009,R012,13.9,61,5.5,OPEN,21.324963,73.971928,69,Weak
188,2026-01-01 03:08:00,C200,SH01134,R030,7.9,64,6.9,OPEN,20.852342,73.236088,87,Medium
189,2026-01-01 03:09:00,C062,SH03763,R062,2.1,60,7.2,CLOSED,20.848471,71.522885,92,Weak
190,2026-01-01 03:10:00,C076,SH03671,R083,6.7,77,4.1,OPEN,23.284375,72.962152,29,Strong
191,2026-01-01 03:11:00,C380,SH00815,R099,11.8,73,5.3,CLOSED,20.7116,71.77939,97,Strong
192,2026-01-01 03:12:00,C148,SH00017,R025,14.8,73,5.5,OPEN,22.75034,71.099833,30,Weak
193,2026-01-01 03:13:00,C186,SH03848,R071,4.4,71,4.7,CLOSED,23.120827,73.903908,22,Strong
194,2026-01-01 03:14:00,C323,SH02127,R010,14.9,81,7.9,OPEN,20.643938,70.472011,83,Medium
195,2026-01-01 03:15:00,C461,SH03478,R012,13.8,93,3.9,CLOSED,22.260048,71.178067,76,Medium
196,2026-01-01 03:16:00,C458,SH02254,R052,7.7,73,1.9,CLOSED,23.350206,71.577738,84,Strong
197,2026-01-01 03:17:00,C491,SH04469,R027,5.0,93,6.7,OPEN,21.660857,70.392336,52,Medium
198,2026-01-01 03:18:00,C417,SH03122,R094,9.6,67,7.8,CLOSED,23.393159,70.122914,92,Strong
199,2026-01-01 03:19:00,C001,SH02253,R055,8.7,79,5.4,OPEN,23.683159,73.665941,87,Medium
200,2026-01-01 03:20:00,C442,SH00051,R066,5.9,77,5.6,OPEN,20.283431,70.42308,30,Weak
201,2026-01-01 03:21:00,C139,SH02342,R056,12.7,78,6.1,OPEN,21.088092,70.704869,48,Medium
202,2026-01-01 03:22:00,C282,SH01702,R020,6.3,82,6.7,CLOSED,20.514272,72.105044,89,Medium
203,2026-01-01 03:23:00,C105,SH01944,R052,13.4,60,5.7,CLOSED,20.513536,72.198783,28,Medium
204,2026-01-01 03:24:00,C325,SH02533,R076,13.8,65,5.5,CLOSED,22.617006,71.611543,26,Strong
205,2026-01-01 03:25:00,C074,SH02456,R023,3.0,71,2.1,OPEN,23.332465,70.642819,24,Medium
206,2026-01-01 03:26:00,C137,SH00178,R033,5.3,86,7.2,CLOSED,20.538433,72.081598,55,Weak
207,2026-01-01 03:27:00,C427,SH00475,R080,9.2,63,5.0,CLOSED,23.65064,71.560689,73,Medium
208,2026-01-01 03:28:00,C135,SH04344,R042,4.5,89,2.2,OPEN,20.081431,71.502962,20,Medium
209,2026-01-01 03:29:00,C244,SH02563,R071,7.7,67,2.0,OPEN,20.004345,71.026998,85,Weak
210,2026-01-01 03:30:00,C171,SH04293,R040,11.1,66,5.9,CLOSED,23.617986,73.513871,86,Medium
211,2026-01-01 03:31:00,C249,SH04065,R074,8.0,82,3.1,CLOSED,23.720265,70.374124,24,Medium
212,2026-01-01 03:32:00,C013,SH00525,R031,2.2,94,7.2,OPEN,22.028539,71.497041,56,Strong
213,2026-01-01 03:33:00,C293,SH01992,R094,12.1,83,1.0,OPEN,22.295568,70.042915,74,Weak
214,2026-01-01 03:34:00,C315,SH03799,R050,13.0,75,2.6,CLOSED,22.507364,71.363097,22,Strong
215,2026-01-01 03:35:00,C466,SH00546,R062,13.5,69,6.6,CLOSED,21.474216,71.600416,51,Medium
216,2026-01-01 03:36:00,C279,SH03384,R062,12.6,62,7.4,OPEN,22.035638,72.090861,60,Weak
217,2026-01-01 03:37:00,C439,SH02229,R040,3.9,69,7.0,OPEN,20.76022,72.253742,49,Strong
218,2026-01-01 03:38:00,C248,SH01396,R007,2.7,80,1.6,CLOSED,20.478408,71.248771,66,Strong
219,2026-01-01 03:39:00,C374,SH04721,R004,4.5,61,3.0,CLOSED,20.122909,70.378721,86,Weak
220,2026-01-01 03:40:00,C337,SH02832,R010,10.0,73,7.6,OPEN,20.671282,73.43176,52,Medium
221,2026-01-01 03:41:00,C387,SH03426,R023,5.2,86,7.1,CLOSED,20.931741,70.963741,71,Strong
222,2026-01-01 03:42:00,C292,SH02646,R084,11.5,89,5.6,CLOSED,22.683209,71.590484,62,Strong
223,2026-01-01 03:43:00,C305,SH01206,R014,11.5,72,7.6,CLOSED,20.034183,73.814264,80,Medium
224,2026-01-01 03:44:00,C066,SH03967,R040,12.6,67,7.4,OPEN,21.261522,72.008246,96,Strong
225,2026-01-01 03:45:00,C011,SH03838,R029,13.7,69,6.1,CLOSED,21.904357,70.140669,99,Medium
226,2026-01-01 03:46:00,C153,SH04341,R015,6.9,76,7.4,CLOSED,21.918859,71.208556,54,Weak
227,2026-01-01 03:47:00,C188,SH00030,R031,7.2,69,6.4,CLOSED,22.3912,70.890135,54,Weak
228,2026-01-01 03:48:00,C033,SH02546,R015,10.1,92,4.8,CLOSED,21.115863,72.429515,84,Medium
229,2026-01-01 03:49:00,C025,SH00629,R039,8.0,91,7.7,CLOSED,21.328968,70.003187,59,Medium
230,2026-01-01 03:50:00,C082,SH04589,R031,4.0,90,6.9,OPEN,22.331247,70.648465,92,Medium
231,2026-01-01 03:51:00,C047,SH03581,R003,8.7,83,5.0,CLOSED,22.398853,72.614369,60,Strong
232,2026-01-01 03:52:00,C422,SH01922,R027,5.6,65,2.1,OPEN,21.098883,70.877709,88,Medium
233,2026-01-01 03:53:00,C416,SH04301,R099,8.7,78,5.4,OPEN,22.14108,72.108045,68,Medium
234,2026-01-01 03:54:00,C226,SH02110,R073,5.4,65,7.7,OPEN,22.470662,73.381047,54,Medium
235,2026-01-01 03:55:00,C480,SH03492,R082,4.4,60,5.8,OPEN,23.072911,73.445591,33,Strong
236,2026-01-01 03:56:00,C469,SH00968,R034,10.1,91,5.5,CLOSED,23.671914,73.957679,76,Medium
237,2026-01-01 03:57:00,C071,SH03175,R007,13.7,68,7.2,CLOSED,22.921682,72.636265,97,Strong
238,2026-01-01 03:58:00,C340,SH03701,R096,9.3,68,3.6,CLOSED,22.554527,71.049447,52,Medium
239,2026-01-01 03:59:00,C122,SH01629,R035,13.7,92,3.3,CLOSED,21.389541,70.071187,25,Strong
240,2026-01-01 04:00:00,C257,SH00091,R092,3.2,81,6.6,OPEN,22.308474,73.930641,79,Medium
