shipment_id,container_id,product_id,quantity_kg,origin_city,destination_city,dispatch_time,expected_delivery,driver_id,transport_company
SH00046,C005,AVO001,1555,Delhi,Mumbai,2026-01-02 22:00:00,2026-01-03 17:00:00,D0657,TransGo
SH00047,C432,AVO001,757,Bengaluru,Vadodara,2026-01-02 23:00:00,2026-01-03 19:00:00,D0094,TransGo
SH00048,C296,AVO001,1771,Nagpur,Indore,2026-01-03 00:00:00,2026-01-04 02:00:00,D0429,TransGo
SH00049,C479,AVO001,1306,Vadodara,Ahmedabad,2026-01-03 01:00:00,2026-01-04 05:00:00,D0310,TransGo
SH00050,C069,AVO001,610,Bengaluru,Nagpur,2026-01-03 02:00:00,2026-01-03 13:00:00,D0180,BlueLog
SH00051,C111,AVO001,1390,Vadodara,Nagpur,2026-01-03 03:00:00,2026-01-03 11:00:00,D0257,TransGo
SH00052,C139,AVO001,1585,Vadodara,Indore,2026-01-03 04:00:00,2026-01-03 16:00:00,D0413,TransGo
SH00053,C054,AVO001,1264,Mumbai,Nagpur,2026-01-03 05:00:00,2026-01-04 00:00:00,D0558,TransGo
SH00054,C433,AVO001,1981,Nagpur,Bengaluru,2026-01-03 06:00:00,2026-01-03 14:00:00,D0634,FastMove
SH00055,C229,AVO001,1897,Pune,Pune,2026-01-03 07:00:00,2026-01-03 17:00:00,D0594,BlueLog
SH00056,C347,AVO001,942,Indore,Delhi,2026-01-03 08:00:00,2026-01-04 03:00:00,D0300,BlueLog
SH00057,C080,AVO001,1281,Indore,Jaipur,2026-01-03 09:00:00,2026-01-03 20:00:00,D0616,BlueLog
SH00058,C139,AVO001,1104,Bengaluru,Surat,2026-01-03 10:00:00,2026-01-04 11:00:00,D0010,TransGo
SH00059,C068,AVO001,1277,Nagpur,Mumbai,2026-01-03 11:00:00,2026-01-04 09:00:00,D0032,FastMove
SH00060,C307,AVO001,1891,Jaipur,Vadodara,2026-01-03 12:00:00,2026-01-04 07:00:00,D0419,FastMove
SH00061,C311,AVO001,1446,Surat,Mumbai,2026-01-03 13:00:00,2026-01-04 12:00:00,D0798,BlueLog
SH00062,C331,AVO001,1942,Surat,Surat,2026-01-03 14:00:00,2026-01-05 00:00:00,D0114,TransGo
SH00063,C072,AVO001,1586,Nagpur,Delhi,2026-01-03 15:00:00,2026-01-04 16:00:00,D0278,TransGo
SH00064,C466,AVO001,1841,Delhi,Indore,2026-01-03 16:00:00,2026-01-05 02:00:00,D0715,BlueLog
SH00065,C475,AVO001,1773,Ahmedabad,Mumbai,2026-01-03 17:00:00,2026-01-04 18:00:00,D0367,BlueLog
SH00066,C060,AVO001,583,Delhi,Jaipur,2026-01-03 18:00:00,2026-01-05 06:00:00,D0745,FastMove
SH00067,C130,AVO001,1846,Surat,Bengaluru,2026-01-03 19:00:00,2026-01-04 16:00:00,D0425,FastMove
SH00068,C184,AVO001,1101,Delhi,Indore,2026-01-03 20:00:00,2026-01-05 05:00:00,D0717,BlueLog
SH00069,C326,AVO001,1748,Nagpur,Pune,2026-01-03 21:00:00,2026-01-04 06:00:00,D0350,TransGo
SH00070,C059,AVO001,1550,Pune,Nagpur,2026-01-03 22:00:00,2026-01-05 02:00:00,D0641,FastMove
SH00071,C458,AVO001,1198,Mumbai,Bengaluru,2026-01-03 23:00:00,2026-01-04 07:00:00,D0492,BlueLog
SH00072,C197,AVO001,1793,Pune,Jaipur,2026-01-04 00:00:00,2026-01-05 06:00:00,D0234,BlueLog
SH00073,C128,AVO001,1187,Delhi,Ahmedabad,2026-01-04 01:00:00,2026-01-05 10:00:00,D0694,FastMove
SH00074,C381,AVO001,1464,Delhi,Indore,2026-01-04 02:00:00,2026-01-05 06:00:00,D0792,TransGo
SH00075,C371,AVO001,896,Jaipur,Indore,2026-01-04 03:00:00,2026-01-04 23:00:00,D0556,BlueLog
SH00076,C293,AVO001,1499,Vadodara,Pune,2026-01-04 04:00:00,2026-01-04 16:00:00,D0013,FastMove
SH00077,C213,AVO001,723,Surat,Mumbai,2026-01-04 05:00:00,2026-01-04 18:00:00,D0470,FastMove
SH00078,C342,AVO001,1528,Vadodara,Pune,2026-01-04 06:00:00,2026-01-04 18:00:00,D0538,BlueLog
SH00079,C485,AVO001,1021,Surat,Indore,2026-01-04 07:00:00,2026-01-05 03:00:00,D0650,TransGo
SH00080,C377,AVO001,967,Nagpur,Jaipur,2026-01-04 08:00:00,2026-01-04 16:00:00,D0558,BlueLog
SH00081,C217,AVO001,825,Pune,Delhi,2026-01-04 09:00:00,2026-01-05 14:00:00,D0245,BlueLog
SH00082,C397,AVO001,1598,Nagpur,Pune,2026-01-04 10:00:00,2026-01-04 23:00:00,D0385,TransGo
SH00083,C012,AVO001,1550,Ahmedabad,Jaipur,2026-01-04 11:00:00,2026-01-05 02:00:00,D0042,TransGo
SH00084,C372,AVO001,889,Nagpur,Bengaluru,2026-01-04 12:00:00,2026-01-05 16:00:00,D0550,BlueLog
SH00085,C127,AVO001,1315,Indore,Mumbai,2026-01-04 13:00:00,2026-01-05 15:00:00,D0660,BlueLog
SH00086,C199,AVO001,683,Nagpur,Mumbai,2026-01-04 14:00:00,2026-01-05 18:00:00,D0491,BlueLog
SH00087,C266,AVO001,989,Surat,Surat,2026-01-04 15:00:00,2026-01-06 02:00:00,D0320,FastMove
SH00088,C143,AVO001,1980,Jaipur,Pune,2026-01-04 16:00:00,2026-01-05 19:00:00,D0137,TransGo
SH00089,C363,AVO001,1151,Nagpur,Indore,2026-01-04 17:00:00,2026-01-05 17:00:00,D0428,TransGo
SH00090,C086,AVO001,1931,Jaipur,Jaipur,2026-01-04 18:00:00,2026-01-06 03:00:00,D0206,FastMove
SH00091,C419,AVO001,1070,Delhi,Pune,2026-01-04 19:00:00,2026-01-05 11:00:00,D0581,FastMove
SH00092,C433,AVO001,858,Bengaluru,Mumbai,2026-01-04 20:00:00,2026-01-06 03:00:00,D0370,FastMove
SH00093,C476,AVO001,792,Vadodara,Vadodara,2026-01-04 21:00:00,2026-01-05 13:00:00,D0358,FastMove
SH00094,C143,AVO001,1658,Indore,Surat,2026-01-04 22:00:00,2026-01-05 10:00:00,D0134,FastMove
SH00095,C116,AVO001,902,Mumbai,Bengaluru,2026-01-04 23:00:00,2026-01-06 00:00:00,D0634,BlueLog
SH00096,C279,AVO001,1379,Ahmedabad,Bengaluru,2026-01-05 00:00:00,2026-01-05 12:00:00,D0568,FastMove
SH00097,C201,AVO001,1957,Ahmedabad,Mumbai,2026-01-05 01:00:00,2026-01-06 05:00:00,D0080,BlueLog
SH00098,C403,AVO001,1866,Surat,Surat,2026-01-05 02:00:00,2026-01-06 09:00:00,D0416,FastMove
SH00099,C214,AVO001,1897,Pune,Bengaluru,2026-01-05 03:00:00,2026-01-06 06:00:00,D0133,TransGo
SH00100,C276,AVO001,1618,Mumbai,Ahmedabad,2026-01-05 04:00:00,2026-01-06 15:00:00,D0391,BlueLog
SH00101,C147,AVO001,914,Jaipur,Delhi,2026-01-05 05:00:00,2026-01-06 12:00:00,D0183,BlueLog
SH00102,C153,AVO001,1952,Pune,Delhi,2026-01-05 06:00:00,2026-01-06 05:00:00,D0549,FastMove
SH00103,C046,AVO001,1553,Vadodara,Ahmedabad,2026-01-05 07:00:00,2026-01-06 13:00:00,D0475,BlueLog
SH00104,C149,AVO001,1774,Bengaluru,Mumbai,2026-01-05 08:00:00,2026-01-06 11:00:00,D0382,FastMove
SH00105,C131,AVO001,1766,Surat,Surat,2026-01-05 09:00:00,2026-01-06 19:00:00,D0324,BlueLog
SH00106,C416,AVO001,771,Mumbai,Mumbai,2026-01-05 10:00:00,2026-01-06 21:00:00,D0446,TransGo
SH00107,C301,AVO001,1003,Ahmedabad,Nagpur,2026-01-05 11:00:00,2026-01-06 11:00:00,D0407,BlueLog
SH00108,C468,AVO001,1949,Ahmedabad,Jaipur,2026-01-05 12:00:00,2026-01-06 17:00:00,D0530,BlueLog
SH00109,C417,AVO001,1966,Bengaluru,Vadodara,2026-01-05 13:00:00,2026-01-06 20:00:00,D0004,TransGo
SH00110,C062,AVO001,912,Bengaluru,Jaipur,2026-01-05 14:00:00,2026-01-06 19:00:00,D0494,TransGo
SH00111,C315,AVO001,972,Vadodara,Surat,2026-01-05 15:00:00,2026-01-06 19:00:00,D0172,TransGo
SH00112,C344,AVO001,1635,Nagpur,Ahmedabad,2026-01-05 16:00:00,2026-01-07 03:00:00,D0421,FastMove
SH00113,C394,AVO001,1855,Jaipur,Jaipur,2026-01-05 17:00:00,2026-01-06 09:00:00,D0506,BlueLog
SH00114,C343,AVO001,765,Pune,Nagpur,2026-01-05 18:00:00,2026-01-06 02:00:00,D0465,BlueLog
SH00115,C251,AVO001,938,Jaipur,Nagpur,2026-01-05 19:00:00,2026-01-07 05:00:00,D0345,BlueLog
SH00116,C049,AVO001,657,Surat,Jaipur,2026-01-05 20:00:00,2026-01-07 06:00:00,D0453,BlueLog
SH00117,C490,AVO001,854,Bengaluru,Nagpur,2026-01-05 21:00:00,2026-01-06 11:00:00,D0522,FastMove
SH00118,C268,AVO001,1238,Ahmedabad,Ahmedabad,2026-01-05 22:00:00,2026-01-06 17:00:00,D0675,TransGo
SH00119,C388,AVO001,632,Delhi,Surat,2026-01-05 23:00:00,2026-01-06 21:00:00,D0046,TransGo
SH00120,C091,AVO001,802,Vadodara,Indore,2026-01-06 00:00:00,2026-01-06 09:00:00,D0598,TransGo
SH00121,C034,AVO001,1658,Jaipur,Mumbai,2026-01-06 01:00:00,2026-01-06 21:00:00,D0525,TransGo
SH00122,C331,AVO001,1117,Jaipur,Vadodara,2026-01-06 02:00:00,2026-01-07 14:00:00,D0361,FastMove
SH00123,C493,AVO001,600,Nagpur,Indore,2026-01-06 03:00:00,2026-01-06 11:00:00,D0438,FastMove
SH00124,C302,AVO001,1149,Pune,Bengaluru,2026-01-06 04:00:00,2026-01-07 06:00:00,D0570,FastMove
SH00125,C034,AVO001,1743,Delhi,Jaipur,2026-01-06 05:00:00,2026-01-07 01:00:00,D0533,BlueLog
SH00126,C295,AVO001,1691,Mumbai,Surat,2026-01-06 06:00:00,2026-01-07 08:00:00,D0543,BlueLog
SH00127,C052,AVO001,1180,Delhi,Delhi,2026-01-06 07:00:00,2026-01-07 15:00:00,D0565,BlueLog
SH00128,C327,AVO001,1258,Bengaluru,Mumbai,2026-01-06 08:00:00,2026-01-07 07:00:00,D0650,BlueLog
SH00129,C434,AVO001,1605,Indore,Delhi,2026-01-06 09:00:00,2026-01-07 09:00:00,D0558,BlueLog
SH00130,C473,AVO001,829,Delhi,Delhi,2026-01-06 10:00:00,2026-01-07 00:00:00,D0150,TransGo
SH00131,C076,AVO001,1707,Mumbai,Jaipur,2026-01-06 11:00:00,2026-01-07 05:00:00,D0521,FastMove
SH00132,C421,AVO001,1237,Delhi,Vadodara,2026-01-06 12:00:00,2026-01-07 15:00:00,D0378,BlueLog
SH00133,C365,AVO001,629,Ahmedabad,Vadodara,2026-01-06 13:00:00,2026-01-07 21:00:00,D0407,TransGo
SH00134,C146,AVO001,1675,Bengaluru,Mumbai,2026-01-06 14:00:00,2026-01-07 00:00:00,D0726,BlueLog
SH00135,C464,AVO001,1047,Jaipur,Mumbai,2026-01-06 15:00:00,2026-01-07 03:00:00,D0290,TransGo
SH00136,C372,AVO001,1812,Vadodara,Ahmedabad,2026-01-06 16:00:00,2026-01-07 06:00:00,D0102,FastMove
SH00137,C370,AVO001,1483,Surat,Nagpur,2026-01-06 17:00:00,2026-01-07 10:00:00,D0209,TransGo
SH00138,C039,AVO001,1627,Delhi,Delhi,2026-01-06 18:00:00,2026-01-07 11:00:00,D0529,BlueLog
SH00139,C019,AVO001,1405,Delhi,Surat,2026-01-06 19:00:00,2026-01-07 03:00:00,D0324,FastMove
SH00140,C384,AVO001,835,Nagpur,Surat,2026-01-06 20:00:00,2026-01-08 02:00:00,D0603,TransGo
SH00141,C340,AVO001,1789,Nagpur,Jaipur,2026-01-06 21:00:00,2026-01-07 10:00:00,D0203,BlueLog
SH00142,C059,AVO001,1703,Pune,Bengaluru,2026-01-06 22:00:00,2026-01-07 22:00:00,D0126,TransGo
SH00143,C137,AVO001,1438,Ahmedabad,Surat,2026-01-06 23:00:00,2026-01-07 18:00:00,D0468,FastMove
SH00144,C475,AVO001,1758,Delhi,Ahmedabad,2026-01-07 00:00:00,2026-01-08 04:00:00,D0010,BlueLog
SH00145,C251,AVO001,566,Pune,Vadodara,2026-01-07 01:00:00,2026-01-08 13:00:00,D0566,BlueLog
SH00146,C005,AVO001,971,Mumbai,Nagpur,2026-01-07 02:00:00,2026-01-08 12:00:00,D0178,BlueLog
SH00147,C485,AVO001,1581,Ahmedabad,Ahmedabad,2026-01-07 03:00:00,2026-01-08 01:00:00,D0296,BlueLog
SH00148,C252,AVO001,1536,Delhi,Delhi,2026-01-07 04:00:00,2026-01-08 00:00:00,D0670,BlueLog
SH00149,C100,AVO001,1717,Pune,Ahmedabad,2026-01-07 05:00:00,2026-01-08 10:00:00,D0639,FastMove
SH00150,C490,AVO001,1690,Jaipur,Bengaluru,2026-01-07 06:00:00,2026-01-08 05:00:00,D0373,BlueLog
SH00151,C250,AVO001,542,Mumbai,Bengaluru,2026-01-07 07:00:00,2026-01-08 12:00:00,D0635,FastMove
SH00152,C424,AVO001,1949,Bengaluru,Delhi,2026-01-07 08:00:00,2026-01-08 02:00:00,D0076,TransGo
SH00153,C216,AVO001,899,Nagpur,Indore,2026-01-07 09:00:00,2026-01-08 19:00:00,D0623,TransGo
SH00154,C339,AVO001,1627,Nagpur,Indore,2026-01-07 10:00:00,2026-01-08 13:00:00,D0697,TransGo
SH00155,C295,AVO001,1421,Bengaluru,Indore,2026-01-07 11:00:00,2026-01-08 00:00:00,D0275,TransGo
SH00156,C420,AVO001,1574,Vadodara,Bengaluru,2026-01-07 12:00:00,2026-01-08 20:00:00,D0406,TransGo
SH00157,C277,AVO001,1030,Vadodara,Vadodara,2026-01-07 13:00:00,2026-01-07 21:00:00,D0620,BlueLog
SH00158,C401,AVO001,1437,Indore,Delhi,2026-01-07 14:00:00,2026-01-08 05:00:00,D0521,FastMove
SH00159,C108,AVO001,1932,Indore,Delhi,2026-01-07 15:00:00,2026-01-08 21:00:00,D0641,BlueLog
SH00160,C197,AVO001,1395,Surat,Mumbai,2026-01-07 16:00:00,2026-01-08 11:00:00,D0009,FastMove
SH00161,C385,AVO001,1608,Surat,Vadodara,2026-01-07 17:00:00,2026-01-08 13:00:00,D0016,FastMove
SH00162,C174,AVO001,1132,Bengaluru,Surat,2026-01-07 18:00:00,2026-01-08 08:00:00,D0734,BlueLog
SH00163,C169,AVO001,745,Mumbai,Pune,2026-01-07 19:00:00,2026-01-09 03:00:00,D0708,FastMove
SH00164,C492,AVO001,1338,Bengaluru,Delhi,2026-01-07 20:00:00,2026-01-08 11:00:00,D0028,TransGo
SH00165,C359,AVO001,1912,Pune,Nagpur,2026-01-07 21:00:00,2026-01-09 04:00:00,D0588,TransGo
SH00166,C188,AVO001,1119,Vadodara,Jaipur,2026-01-07 22:00:00,2026-01-08 19:00:00,D0540,FastMove
SH00167,C416,AVO001,651,Ahmedabad,Jaipur,2026-01-07 23:00:00,2026-01-08 14:00:00,D0623,BlueLog
SH00168,C317,AVO001,993,Ahmedabad,Ahmedabad,2026-01-08 00:00:00,2026-01-09 06:00:00,D0405,FastMove
SH00169,C108,AVO001,1773,Pune,Vadodara,2026-01-08 01:00:00,2026-01-09 08:00:00,D0737,FastMove
SH00170,C001,AVO001,1959,Vadodara,Indore,2026-01-08 02:00:00,2026-01-09 01:00:00,D0175,TransGo
SH00171,C075,AVO001,563,Delhi,Jaipur,2026-01-08 03:00:00,2026-01-09 04:00:00,D0351,TransGo
SH00172,C251,AVO001,1150,Bengaluru,Mumbai,2026-01-08 04:00:00,2026-01-09 06:00:00,D0662,FastMove
SH00173,C415,AVO001,1622,Vadodara,Jaipur,2026-01-08 05:00:00,2026-01-08 13:00:00,D0319,BlueLog
SH00174,C328,AVO001,1507,Mumbai,Nagpur,2026-01-08 06:00:00,2026-01-08 21:00:00,D0621,TransGo
SH00175,C330,AVO001,1042,Jaipur,Delhi,2026-01-08 07:00:00,2026-01-09 16:00:00,D0237,BlueLog
SH00176,C053,AVO001,1722,Nagpur,Nagpur,2026-01-08 08:00:00,2026-01-09 08:00:00,D0167,BlueLog
SH00177,C150,AVO001,598,Mumbai,Ahmedabad,2026-01-08 09:00:00,2026-01-08 17:00:00,D0689,BlueLog
SH00178,C217,AVO001,1998,Surat,Mumbai,2026-01-08 10:00:00,2026-01-08 19:00:00,D0010,BlueLog
SH00179,C276,AVO001,1194,Delhi,Surat,2026-01-08 11:00:00,2026-01-09 14:00:00,D0010,TransGo
SH00180,C109,AVO001,1460,Ahmedabad,Vadodara,2026-01-08 12:00:00,2026-01-09 05:00:00,D0596,TransGo
SH00181,C268,AVO001,1014,Ahmedabad,Pune,2026-01-08 13:00:00,2026-01-09 03:00:00,D0401,BlueLog
SH00182,C123,AVO001,1637,Indore,Surat,2026-01-08 14:00:00,2026-01-09 08:00:00,D0335,FastMove
SH00183,C062,AVO001,532,Bengaluru,Pune,2026-01-08 15:00:00,2026-01-09 15:00:00,D0656,BlueLog
SH00184,C390,AVO001,878,Ahmedabad,Ahmedabad,2026-01-08 16:00:00,2026-01-09 05:00:00,D0312,BlueLog
SH00185,C031,AVO001,1142,Pune,Mumbai,2026-01-08 17:00:00,2026-01-10 03:00:00,D0454,BlueLog
SH00186,C119,AVO001,588,Vadodara,Delhi,2026-01-08 18:00:00,2026-01-09 03:00:00,D0604,BlueLog
SH00187,C227,AVO001,910,Ahmedabad,Pune,2026-01-08 19:00:00,2026-01-09 06:00:00,D0059,BlueLog
SH00188,C028,AVO001,1991,Mumbai,Mumbai,2026-01-08 20:00:00,2026-01-10 05:00:00,D0761,BlueLog
SH00189,C481,AVO001,1085,Vadodara,Nagpur,2026-01-08 21:00:00,2026-01-09 18:00:00,D0255,TransGo
SH00190,C017,AVO001,1982,Vadodara,Ahmedabad,2026-01-08 22:00:00,2026-01-09 16:00:00,D0359,FastMove
SH00191,C233,AVO001,1850,Bengaluru,Jaipur,2026-01-08 23:00:00,2026-01-10 10:00:00,D0696,FastMove
SH00192,C046,AVO001,1372,Ahmedabad,Indore,2026-01-09 00:00:00,2026-01-10 12:00:00,D0352,BlueLog
SH00193,C310,AVO001,1829,Mumbai,Ahmedabad,2026-01-09 01:00:00,2026-01-09 11:00:00,D0792,FastMove
SH00194,C454,AVO001,1067,Nagpur,Vadodara,2026-01-09 02:00:00,2026-01-09 20:00:00,D0773,FastMove
SH00195,C210,AVO001,1434,Delhi,Delhi,2026-01-09 03:00:00,2026-01-09 21:00:00,D0406,FastMove
SH00196,C262,AVO001,535,Delhi,Pune,2026-01-09 04:00:00,2026-01-09 21:00:00,D0173,FastMove
SH00197,C291,AVO001,759,Nagpur,Pune,2026-01-09 05:00:00,2026-01-09 18:00:00,D0469,TransGo
SH00198,C322,AVO001,811,Pune,Pune,2026-01-09 06:00:00,2026-01-09 16:00:00,D0627,FastMove
SH00199,C121,AVO001,1228,Delhi,Pune,2026-01-09 07:00:00,2026-01-09 23:00:00,D0485,FastMove
SH00200,C040,AVO001,1377,Pune,Nagpur,2026-01-09 08:00:00,2026-01-10 03:00:00,D0461,BlueLog
SH00201,C433,AVO001,819,Delhi,Mumbai,2026-01-09 09:00:00,2026-01-10 14:00:00,D0192,FastMove
SH00202,C274,AVO001,571,Surat,Ahmedabad,2026-01-09 10:00:00,2026-01-10 14:00:00,D0365,TransGo
SH00203,C493,AVO001,1249,Nagpur,Delhi,2026-01-09 11:00:00,2026-01-10 22:00:00,D0516,TransGo
SH00204,C415,AVO001,1863,Delhi,Delhi,2026-01-09 12:00:00,2026-01-10 16:00:00,D0124,BlueLog
SH00205,C486,AVO001,1268,Surat,Vadodara,2026-01-09 13:00:00,2026-01-11 01:00:00,D0629,TransGo
SH00206,C495,AVO001,930,Surat,Ahmedabad,2026-01-09 14:00:00,2026-01-11 00:00:00,D0312,FastMove
SH00207,C289,AVO001,1325,Ahmedabad,Delhi,2026-01-09 15:00:00,2026-01-10 23:00:00,D0051,BlueLog
SH00208,C483,AVO001,1095,Bengaluru,Surat,2026-01-09 16:00:00,2026-01-10 06:00:00,D0100,BlueLog
SH00209,C115,AVO001,1255,Nagpur,Vadodara,2026-01-09 17:00:00,2026-01-10 05:00:00,D0167,BlueLog
SH00210,C039,AVO001,1137,Bengaluru,Nagpur,2026-01-09 18:00:00,2026-01-10 18:00:00,D0553,TransGo
SH00211,C463,AVO001,1609,Jaipur,Indore,2026-01-09 19:00:00,2026-01-10 21:00:00,D0525,FastMove
SH00212,C094,AVO001,1549,Delhi,Ahmedabad,2026-01-09 20:00:00,2026-01-10 17:00:00,D0076,FastMove
SH00213,C106,AVO001,968,Pune,Pune,2026-01-09 21:00:00,2026-01-11 05:00:00,D0214,BlueLog
SH00214,C084,AVO001,1494,Delhi,Pune,2026-01-09 22:00:00,2026-01-10 07:00:00,D0369,BlueLog
SH00215,C313,AVO001,986,Ahmedabad,Mumbai,2026-01-09 23:00:00,2026-01-10 21:00:00,D0660,TransGo
SH00216,C101,AVO001,1732,Delhi,Pune,2026-01-10 00:00:00,2026-01-11 02:00:00,D0708,TransGo
SH00217,C362,AVO001,536,Ahmedabad,Delhi,2026-01-10 01:00:00,2026-01-11 13:00:00,D0492,TransGo
SH00218,C019,AVO001,607,Delhi,Indore,2026-01-10 02:00:00,2026-01-11 03:00:00,D0358,BlueLog
SH00219,C250,AVO001,639,Nagpur,Delhi,2026-01-10 03:00:00,2026-01-11 08:00:00,D0760,TransGo
SH00220,C343,AVO001,1138,Bengaluru,Delhi,2026-01-10 04:00:00,2026-01-11 16:00:00,D0587,BlueLog
SH00221,C247,AVO001,1192,Jaipur,Mumbai,2026-01-10 05:00:00,2026-01-10 21:00:00,D0065,TransGo
SH00222,C331,AVO001,1161,Surat,Pune,2026-01-10 06:00:00,2026-01-11 00:00:00,D0232,FastMove
